period,male,female
1869-70,1,0
1879-80,51,3
1889-90,147,2
1899-00,359,23
1909-10,399,44
1919-20,522,93
1929-30,1946,353
1939-40,2861,429
1949-50,5804,616
1959-60,8801,1028
1969-70,53792,5694
1979-80,69526,26105
1980-81,69567,28449
1981-82,68630,29208
1982-83,67757,31578
1983-84,67769,33030
1984-85,66269,34516
1985-86,65215,35065
1986-87,62790,35687
1987-88,63019,36120
1988-89,63055,37516
1989-90,63963,39545
1990-91,64242,41305
1991-92,66603,42951
1992-93,67130,44942
1993-94,66773,45863
1994-95,67324,46942
1995-96,67189,48318
1996-97,68387,50360
1997-98,67232,51503
1998-99,65340,51360
1999-00,64930,53806
2000-01,64171,55414
2001-02,62731,56932
2002-03,62730,58849
2003-04,64045,62280
2004-05,67231,67040
2005-06,68912,69144
2006-07,71311,73383
2007-08,73340,75850
2008-09,75674,78890
2009-10,76610,81980
2010-11,79672,84155
2011-12,82670,87547
2012-13,85080,89946
2013-14,85585,92002
2014-15,84922,93626
2015-16,84240,93894
2016-17,84649,96708
2017-18,85389,98345
2018-19,85769,101799
2019-20,86000,101000
2020-21,86000,101000
2021-22,86000,101000
2022-23,86000,101000
2023-24,86000,102000
2024-25,86000,102000
2025-26,87000,102000
2026-27,87000,103000
2027-28,87000,103000
2028-29,87000,103000
2029-30,87000,103000
